County	State	FoodServices-97	FoodServices-2002	FoodServices-2007
UNITED STATES		545068	565590	634361
ALABAMA		6955	7075	8093
Autauga	 AL	50	67	92
Baldwin	 AL	303	319	414
Barbour	 AL	42	44	45
Bibb	 AL	12	17	19
Blount	 AL	42	44	46
Bullock	 AL	12	9	8
Butler	 AL	31	35	40
Calhoun	 AL	185	188	224
Chambers	 AL	44	46	47
Cherokee	 AL	26	32	39
Chilton	 AL	50	49	60
Choctaw	 AL	15	13	21
Clarke	 AL	41	44	53
Clay	 AL	11	16	12
Cleburne	 AL	11	9	13
Coffee	 AL	63	62	89
Colbert	 AL	103	95	99
Conecuh	 AL	17	17	16
Coosa	 AL	3	4	3
Covington	 AL	58	61	67
Crenshaw	 AL	11	14	11
Cullman	 AL	94	107	126
Dale	 AL	82	68	85
Dallas	 AL	63	56	63
DeKalb	 AL	100	86	108
Elmore	 AL	62	63	82
Escambia	 AL	56	62	54
Etowah	 AL	169	171	177
Fayette	 AL	18	17	22
Franklin	 AL	44	43	51
Geneva	 AL	31	24	31
Greene	 AL	5	5	6
Hale	 AL	12	8	12
Henry	 AL	12	12	25
Houston	 AL	198	193	226
Jackson	 AL	70	68	77
Jefferson	 AL	1197	1206	1271
Lamar	 AL	17	18	19
Lauderdale	 AL	146	139	150
Lawrence	 AL	33	39	42
Lee	 AL	199	205	271
Limestone	 AL	71	74	96
Lowndes	 AL	4	3	6
Macon	 AL	21	17	22
Madison	 AL	513	541	643
Marengo	 AL	34	32	41
Marion	 AL	41	48	46
Marshall	 AL	157	159	169
Mobile	 AL	649	637	652
Monroe	 AL	34	37	32
Montgomery	 AL	422	418	473
Morgan	 AL	185	183	207
Perry	 AL	11	13	11
Pickens	 AL	14	17	16
Pike	 AL	58	55	63
Randolph	 AL	27	28	30
Russell	 AL	71	73	84
St. Clair	 AL	78	76	109
Shelby	 AL	188	241	334
Sumter	 AL	21	20	20
Talladega	 AL	94	103	111
Tallapoosa	 AL	51	44	65
Tuscaloosa	 AL	317	334	377
Walker	 AL	93	86	102
Washington	 AL	13	9	9
Wilcox	 AL	17	19	19
Winston	 AL	33	33	40
ALASKA		1763	1849	1996
Aleutians East	 AK	8	8	12
Aleutians West	 AK	11	17	12
Anchorage	 AK	640	666	720
Bethel	 AK	12	16	18
Bristol Bay	 AK	12	15	19
Denali	 AK	18	31	30
Dillingham	 AK	18	12	18
Fairbanks North Star	 AK	184	195	220
Haines	 AK	19	16	19
Hoonah-Angoon	 AK	39	31	40
Juneau	 AK	94	96	97
Kenai Peninsula	 AK	213	249	260
Ketchikan Gateway	 AK	57	60	57
Kodiak Island	 AK	41	37	42
Lake and Peninsula	 AK	16	12	14
Matanuska-Susitna	 AK	126	156	185
Nome	 AK	20	14	15
North Slope	 AK	31	26	20
Northwest Arctic	 AK	13	7	4
Petersburg	 AK	23	24	25
Prince of Wales-Hyder	 AK	25	21	23
Sitka	 AK	32	35	41
Skagway	 AK	0	0	0
Southeast Fairbanks	 AK	28	25	30
Valdez-Cordova	 AK	58	57	56
Wade Hampton	 AK	2	2	0
Wrangell	 AK	0	0	0
Yakutat	 AK	6	8	7
Yukon-Koyukuk	 AK	17	13	12
ARIZONA		9094	9944	11610
Apache	 AZ	65	62	68
Cochise	 AZ	270	282	277
Coconino	 AZ	477	455	531
Gila	 AZ	148	135	137
Graham	 AZ	59	57	53
Greenlee	 AZ	15	13	16
La Paz	 AZ	76	75	73
Maricopa	 AZ	4903	5615	6750
Mohave	 AZ	324	345	381
Navajo	 AZ	222	218	244
Pima	 AZ	1525	1599	1758
Pinal	 AZ	233	236	328
Santa Cruz	 AZ	87	91	100
Yavapai	 AZ	444	490	578
Yuma	 AZ	246	271	316
ARKANSAS		4663	4659	5112
Arkansas	 AR	43	47	43
Ashley	 AR	24	26	25
Baxter	 AR	106	102	108
Benton	 AR	230	238	362
Boone	 AR	65	57	63
Bradley	 AR	16	16	15
Calhoun	 AR	4	3	4
Carroll	 AR	157	163	143
Chicot	 AR	23	19	18
Clark	 AR	45	48	50
Clay	 AR	17	21	16
Cleburne	 AR	49	55	58
Cleveland	 AR	2	2	2
Columbia	 AR	50	45	38
Conway	 AR	29	29	36
Craighead	 AR	133	142	178
Crawford	 AR	65	56	84
Crittenden	 AR	84	83	82
Cross	 AR	21	18	24
Dallas	 AR	10	11	13
Desha	 AR	35	26	28
Drew	 AR	31	35	31
Faulkner	 AR	112	127	165
Franklin	 AR	27	25	21
Fulton	 AR	17	20	16
Garland	 AR	222	249	265
Grant	 AR	11	18	18
Greene	 AR	54	57	61
Hempstead	 AR	34	30	38
Hot Spring	 AR	33	30	32
Howard	 AR	18	16	16
Independence	 AR	48	54	59
Izard	 AR	20	15	13
Jackson	 AR	28	29	26
Jefferson	 AR	131	138	140
Johnson	 AR	36	33	35
Lafayette	 AR	9	10	5
Lawrence	 AR	28	21	19
Lee	 AR	8	5	7
Lincoln	 AR	7	13	14
Little River	 AR	23	12	14
Logan	 AR	33	26	27
Lonoke	 AR	53	67	75
Madison	 AR	9	7	13
Marion	 AR	30	31	32
Miller	 AR	79	78	66
Mississippi	 AR	74	83	81
Monroe	 AR	24	24	16
Montgomery	 AR	14	14	17
Nevada	 AR	9	8	9
Newton	 AR	10	16	12
Ouachita	 AR	40	34	26
Perry	 AR	8	3	5
Phillips	 AR	39	34	29
Pike	 AR	26	18	14
Poinsett	 AR	34	32	37
Polk	 AR	34	33	35
Pope	 AR	106	105	113
Prairie	 AR	17	12	14
Pulaski	 AR	801	774	858
Randolph	 AR	27	28	22
St. Francis	 AR	54	43	45
Saline	 AR	83	85	117
Scott	 AR	17	14	16
Searcy	 AR	10	9	11
Sebastian	 AR	257	241	262
Sevier	 AR	22	12	14
Sharp	 AR	41	37	41
Stone	 AR	21	30	29
Union	 AR	68	75	70
Van Buren	 AR	27	21	22
Washington	 AR	372	387	454
White	 AR	95	107	116
Woodruff	 AR	6	8	7
Yell	 AR	18	19	22
CALIFORNIA		62629	66568	75989
Alameda	 CA	2775	2937	3385
Alpine	 CA	16	15	12
Amador	 CA	106	100	109
Butte	 CA	380	381	429
Calaveras	 CA	95	95	114
Colusa	 CA	43	39	39
Contra Costa	 CA	1517	1608	1777
Del Norte	 CA	82	80	74
El Dorado	 CA	410	408	447
Fresno	 CA	1258	1290	1460
Glenn	 CA	50	51	58
Humboldt	 CA	371	360	352
Imperial	 CA	238	214	261
Inyo	 CA	100	94	98
Kern	 CA	1013	1048	1203
Kings	 CA	156	156	171
Lake	 CA	132	130	133
Lassen	 CA	68	67	61
Los Angeles	 CA	15737	17074	19476
Madera	 CA	162	170	192
Marin	 CA	687	687	694
Mariposa	 CA	56	51	51
Mendocino	 CA	322	325	347
Merced	 CA	270	278	302
Modoc	 CA	27	28	26
Mono	 CA	134	139	138
Monterey	 CA	908	958	983
Napa	 CA	347	343	363
Nevada	 CA	231	221	235
Orange	 CA	5405	5911	6854
Placer	 CA	546	630	824
Plumas	 CA	116	123	112
Riverside	 CA	2161	2491	3292
Sacramento	 CA	2189	2206	2634
San Benito	 CA	80	85	93
San Bernardino	 CA	2323	2528	3112
San Diego	 CA	5441	5761	6599
San Francisco	 CA	3264	3311	3525
San Joaquin	 CA	826	938	1079
San Luis Obispo	 CA	675	760	850
San Mateo	 CA	1497	1557	1785
Santa Barbara	 CA	954	975	1029
Santa Clara	 CA	3499	3690	4097
Santa Cruz	 CA	592	606	657
Shasta	 CA	402	376	403
Sierra	 CA	22	22	16
Siskiyou	 CA	160	155	149
Solano	 CA	569	669	731
Sonoma	 CA	1012	1068	1173
Stanislaus	 CA	678	751	842
Sutter	 CA	102	117	153
Tehama	 CA	102	114	124
Trinity	 CA	57	50	53
Tulare	 CA	510	474	558
Tuolumne	 CA	168	168	169
Ventura	 CA	1201	1287	1602
Yolo	 CA	302	316	399
Yuba	 CA	85	82	85
COLORADO		10073	10799	12075
Adams	 CO	512	559	635
Alamosa	 CO	49	46	48
Arapahoe	 CO	915	1052	1136
Archuleta	 CO	56	53	64
Baca	 CO	7	8	8
Bent	 CO	8	8	10
Boulder	 CO	709	720	815
Broomfield	 CO	0	95	137
Chaffee	 CO	100	97	107
Cheyenne	 CO	4	6	3
Clear Creek	 CO	48	41	49
Conejos	 CO	14	15	12
Costilla	 CO	7	7	5
Crowley	 CO	5	4	3
Custer	 CO	14	16	19
Delta	 CO	68	75	80
Denver	 CO	1564	1641	1778
Dolores	 CO	7	6	5
Douglas	 CO	178	286	467
Eagle	 CO	223	242	254
Elbert	 CO	11	19	16
El Paso	 CO	999	1082	1240
Fremont	 CO	82	91	97
Garfield	 CO	155	153	187
Gilpin	 CO	9	9	9
Grand	 CO	127	142	133
Gunnison	 CO	114	120	123
Hinsdale	 CO	18	23	18
Huerfano	 CO	28	29	31
Jackson	 CO	7	8	11
Jefferson	 CO	969	951	1109
Kiowa	 CO	5	4	2
Kit Carson	 CO	20	19	22
Lake	 CO	44	39	36
La Plata	 CO	169	175	204
Larimer	 CO	648	702	807
Las Animas	 CO	42	47	43
Lincoln	 CO	25	21	17
Logan	 CO	51	48	43
Mesa	 CO	247	250	301
Mineral	 CO	11	17	18
Moffat	 CO	27	36	37
Montezuma	 CO	82	83	86
Montrose	 CO	76	89	85
Morgan	 CO	63	49	55
Otero	 CO	63	57	57
Ouray	 CO	45	50	56
Park	 CO	38	39	44
Phillips	 CO	10	7	9
Pitkin	 CO	191	169	146
Prowers	 CO	40	37	37
Pueblo	 CO	321	338	344
Rio Blanco	 CO	25	27	31
Rio Grande	 CO	41	40	40
Routt	 CO	108	129	130
Saguache	 CO	10	8	10
San Juan	 CO	15	21	22
San Miguel	 CO	59	77	74
Sedgwick	 CO	11	8	8
Summit	 CO	204	195	208
Teller	 CO	68	65	76
Washington	 CO	11	5	8
Weld	 CO	271	320	379
Yuma	 CO	25	24	31
CONNECTICUT		6903	7047	7941
Fairfield	 CT	1772	1874	2094
Hartford	 CT	1778	1765	1956
